Month,Deer,Height (cm),Precip (cm),Temp (C°),Worm Monster
0,3,7.025469,25.124031,8.151044,0
1,2,20.237776,31.23288,3.331269,2
2,3,16.156521,31.767717,14.175068,1
3,4,8.536607,34.24958,23.984303,0
4,3,0,26.02644,21.57135,0
5,2,0,19.118515,26.943792,0
6,1,0,14.280616,24.459343,0
7,0,0,9.902847,20.943853,0
8,0,0.06454,0.608584,16.763756,0
9,0,0.104305,6.707114,17.838461,0
10,0,15.943133,10.278106,3.823749,2
11,1,33.723122,18.534859,2.098821,4
12,2,39.846474,20.345791,9.804022,3
13,3,36.70409,32.913761,13.015896,2
14,4,29.231096,36.690979,16.678131,1
15,5,19.071661,32.962292,22.464828,0
16,6,6.371661,24.079014,28.670706,0
17,5,0,25.726509,21.605881,0
18,4,0,14.843539,26.389566,0
19,3,0,11.101936,19.364197,0
20,2,0,4.371798,19.202881,0
21,1,0,4.380106,13.99924,0
22,0,0,8.236949,13.069108,0
23,0,17.212723,16.357115,2.243222,2
24,1,33.813686,26.45801,7.578254,1
25,2,34.454082,31.23427,12.141692,0
26,3,30.993916,32.294212,13.356559,0
27,4,23.379423,31.950247,20.415607,0
28,5,13.219423,27.379044,28.377287,0
29,5,0.519667,26.588711,23.242212,0
30,4,0,11.318362,26.069828,0
31,3,0,5.270564,18.690075,0
32,2,0,2.315969,19.494913,0
33,1,0,1.381499,17.913162,0
34,0,6.504484,6.026602,7.709832,0
35,1,21.333733,8.860858,4.965441,2
36,2,37.852165,23.611713,6.781229,4
37,3,43.317142,29.322828,9.255333,3
38,4,38.452362,33.549419,12.326586,2
39,5,28.344807,34.469692,17.995771,1
40,6,15.647862,29.653954,21.010746,0
41,6,0.407863,21.134567,31.065081,0
42,5,0,14.149517,30.409691,0
43,4,0,6.874546,27.429827,0
44,3,0,1.141564,15.032637,0
45,2,0,8.018845,15.952681,0
46,1,7.714178,8.970417,6.680542,2
47,2,20.059866,16.023201,1.438764,4
48,3,36.882954,20.657486,3.950674,6
49,4,44.014881,32.501881,7.777025,5
50,5,35.643406,29.835991,13.259233,4
51,6,22.969027,29.786171,18.89311,3
52,7,7.729029,31.136108,26.558634,2
53,6,0,24.308287,28.719927,1
54,5,0,16.469166,21.910053,0
55,4,0,9.399645,25.001238,0
56,3,0,1.949902,18.008169,0
57,2,0,2.504965,12.981716,0
58,1,0,3.140408,10.728018,0
59,0,3.191233,9.507076,9.977595,0
60,1,23.740145,18.962234,5.587607,2
61,2,36.036232,27.349659,8.07233,1
62,3,31.546982,30.02256,15.018451,0
63,4,23.929035,33.166466,21.317343,0
64,5,13.769046,32.819916,25.669619,0
65,5,1.069046,25.325464,30.834105,0
66,4,0,18.849283,21.87319,0
67,3,0,5.043373,19.331776,0
68,2,0,4.739652,18.650063,0
69,1,0,1.469632,12.172623,0
70,0,3.286263,10.648778,10.08199,0
71,1,14.048632,13.692547,0.358626,2
